datetime,total_precipitation_sum
1-Jan-19,0
2-Jan-19,0
3-Jan-19,0
4-Jan-19,0
5-Jan-19,0
6-Jan-19,0
7-Jan-19,0
8-Jan-19,0
9-Jan-19,0
10-Jan-19,0
11-Jan-19,0
12-Jan-19,0
13-Jan-19,0
14-Jan-19,0
15-Jan-19,0
16-Jan-19,0
17-Jan-19,0
18-Jan-19,0
19-Jan-19,0
20-Jan-19,0
21-Jan-19,0
22-Jan-19,0
23-Jan-19,0
24-Jan-19,0
25-Jan-19,0
26-Jan-19,0
27-Jan-19,0
28-Jan-19,0
29-Jan-19,0
30-Jan-19,0
31-Jan-19,0
1-Feb-19,0
2-Feb-19,0
3-Feb-19,0
4-Feb-19,0.003
5-Feb-19,0.001
6-Feb-19,0
7-Feb-19,0
8-Feb-19,0
9-Feb-19,0
10-Feb-19,0
11-Feb-19,0
12-Feb-19,0
13-Feb-19,0.001
14-Feb-19,0
15-Feb-19,0
16-Feb-19,0
17-Feb-19,0
18-Feb-19,0
19-Feb-19,0
20-Feb-19,0
21-Feb-19,0
22-Feb-19,0
23-Feb-19,0
24-Feb-19,0
25-Feb-19,0
26-Feb-19,0
27-Feb-19,0
28-Feb-19,0
1-Mar-19,0.001
2-Mar-19,0
3-Mar-19,0
4-Mar-19,0
5-Mar-19,0
6-Mar-19,0
7-Mar-19,0
8-Mar-19,0
9-Mar-19,0
10-Mar-19,0
11-Mar-19,0
12-Mar-19,0
13-Mar-19,0
14-Mar-19,0
15-Mar-19,0
16-Mar-19,0
17-Mar-19,0
18-Mar-19,0
19-Mar-19,0
20-Mar-19,0
21-Mar-19,0
22-Mar-19,0
23-Mar-19,0
24-Mar-19,0
25-Mar-19,0
26-Mar-19,0
27-Mar-19,0
28-Mar-19,0
29-Mar-19,0
30-Mar-19,0
31-Mar-19,0
1-Apr-19,0
2-Apr-19,0
3-Apr-19,0
4-Apr-19,0
5-Apr-19,0
6-Apr-19,0
7-Apr-19,0
8-Apr-19,0
9-Apr-19,0
10-Apr-19,0
11-Apr-19,0
12-Apr-19,0
13-Apr-19,0.004
14-Apr-19,0.022
15-Apr-19,0
16-Apr-19,0
17-Apr-19,0
18-Apr-19,0
19-Apr-19,0
20-Apr-19,0
21-Apr-19,0
22-Apr-19,0
23-Apr-19,0
24-Apr-19,0
25-Apr-19,0
26-Apr-19,0
27-Apr-19,0
28-Apr-19,0
29-Apr-19,0
30-Apr-19,0
1-May-19,0
2-May-19,0
3-May-19,0
4-May-19,0
5-May-19,0
6-May-19,0
7-May-19,0
8-May-19,0
9-May-19,0
10-May-19,0
11-May-19,0
12-May-19,0
