datetime,temperature_2m
2017-01-01 00:00:00,290.447
2017-01-01 01:00:00,289.664
2017-01-01 02:00:00,289.155
2017-01-01 03:00:00,288.886
2017-01-01 04:00:00,289.924
2017-01-01 05:00:00,294.741
2017-01-01 06:00:00,298.58
2017-01-01 07:00:00,300.642
2017-01-01 08:00:00,302.083
2017-01-01 09:00:00,303.009
2017-01-01 10:00:00,303.492
2017-01-01 11:00:00,303.45
2017-01-01 12:00:00,302.935
2017-01-01 13:00:00,301.737
2017-01-01 14:00:00,300.053
2017-01-01 15:00:00,298.503
2017-01-01 16:00:00,297.048
2017-01-01 17:00:00,295.588
2017-01-01 18:00:00,294.532
2017-01-01 19:00:00,293.788
2017-01-01 20:00:00,293.141
2017-01-01 21:00:00,292.324
2017-01-01 22:00:00,291.339
2017-01-01 23:00:00,290.352
2017-01-02 00:00:00,289.592
2017-01-02 01:00:00,289.083
2017-01-02 02:00:00,288.684
2017-01-02 03:00:00,288.351
2017-01-02 04:00:00,289.394
2017-01-02 05:00:00,293.846
2017-01-02 06:00:00,297.159
2017-01-02 07:00:00,299.36
2017-01-02 08:00:00,300.848
2017-01-02 09:00:00,301.894
2017-01-02 10:00:00,302.451
2017-01-02 11:00:00,302.476
2017-01-02 12:00:00,301.921
2017-01-02 13:00:00,300.768
2017-01-02 14:00:00,299.224
2017-01-02 15:00:00,297.825
2017-01-02 16:00:00,296.475
2017-01-02 17:00:00,295.131
2017-01-02 18:00:00,293.881
2017-01-02 19:00:00,293.011
2017-01-02 20:00:00,292.378
2017-01-02 21:00:00,291.951
2017-01-02 22:00:00,290.939
2017-01-02 23:00:00,290.38
2017-01-03 00:00:00,289.959
2017-01-03 01:00:00,289.397
2017-01-03 02:00:00,288.915
2017-01-03 03:00:00,288.485
2017-01-03 04:00:00,289.183
2017-01-03 05:00:00,292.676
2017-01-03 06:00:00,296.263
2017-01-03 07:00:00,298.937
2017-01-03 08:00:00,300.543
2017-01-03 09:00:00,301.675
2017-01-03 10:00:00,302.323
2017-01-03 11:00:00,302.447
2017-01-03 12:00:00,302.035
2017-01-03 13:00:00,301.065
2017-01-03 14:00:00,299.582
2017-01-03 15:00:00,298.242
2017-01-03 16:00:00,296.975
2017-01-03 17:00:00,295.649
2017-01-03 18:00:00,294.254
2017-01-03 19:00:00,293.283
2017-01-03 20:00:00,292.609
2017-01-03 21:00:00,292.111
2017-01-03 22:00:00,291.56
2017-01-03 23:00:00,291.125
2017-01-04 00:00:00,290.61
2017-01-04 01:00:00,289.834
2017-01-04 02:00:00,289.074
2017-01-04 03:00:00,288.356
2017-01-04 04:00:00,289.153
2017-01-04 05:00:00,293.883
2017-01-04 06:00:00,297.663
2017-01-04 07:00:00,299.782
2017-01-04 08:00:00,301.121
2017-01-04 09:00:00,302.033
2017-01-04 10:00:00,302.522
2017-01-04 11:00:00,302.631
2017-01-04 12:00:00,302.274
2017-01-04 13:00:00,301.302
2017-01-04 14:00:00,299.788
2017-01-04 15:00:00,298.286
2017-01-04 16:00:00,296.858
2017-01-04 17:00:00,295.513
2017-01-04 18:00:00,294.307
2017-01-04 19:00:00,293.611
2017-01-04 20:00:00,292.897
2017-01-04 21:00:00,292.384
2017-01-04 22:00:00,291.846
2017-01-04 23:00:00,291.169
2017-01-05 00:00:00,290.612
2017-01-05 01:00:00,290.158
2017-01-05 02:00:00,289.766
2017-01-05 03:00:00,289.192
2017-01-05 04:00:00,290.001
2017-01-05 05:00:00,294.423
2017-01-05 06:00:00,297.909
2017-01-05 07:00:00,300.451
2017-01-05 08:00:00,302.0
2017-01-05 09:00:00,303.034
2017-01-05 10:00:00,303.609
2017-01-05 11:00:00,303.767
2017-01-05 12:00:00,303.489
2017-01-05 13:00:00,302.604
2017-01-05 14:00:00,301.087
2017-01-05 15:00:00,299.667
2017-01-05 16:00:00,298.249
2017-01-05 17:00:00,296.814
2017-01-05 18:00:00,295.5
2017-01-05 19:00:00,294.729
2017-01-05 20:00:00,293.747
2017-01-05 21:00:00,292.855
2017-01-05 22:00:00,292.008
2017-01-05 23:00:00,291.13
2017-01-06 00:00:00,290.349
2017-01-06 01:00:00,289.847
2017-01-06 02:00:00,289.425
2017-01-06 03:00:00,288.919
2017-01-06 04:00:00,289.785
2017-01-06 05:00:00,293.911
2017-01-06 06:00:00,296.637
2017-01-06 07:00:00,298.473
2017-01-06 08:00:00,299.655
2017-01-06 09:00:00,300.432
2017-01-06 10:00:00,300.791
2017-01-06 11:00:00,300.724
2017-01-06 12:00:00,300.296
2017-01-06 13:00:00,299.363
2017-01-06 14:00:00,297.896
2017-01-06 15:00:00,296.551
2017-01-06 16:00:00,295.495
2017-01-06 17:00:00,294.642
2017-01-06 18:00:00,293.893
2017-01-06 19:00:00,293.257
2017-01-06 20:00:00,292.537
2017-01-06 21:00:00,291.804
2017-01-06 22:00:00,291.093
2017-01-06 23:00:00,290.447
2017-01-07 00:00:00,289.779
2017-01-07 01:00:00,289.153
2017-01-07 02:00:00,288.433
2017-01-07 03:00:00,287.727
2017-01-07 04:00:00,288.641
2017-01-07 05:00:00,292.218
2017-01-07 06:00:00,294.059
2017-01-07 07:00:00,295.614
2017-01-07 08:00:00,296.688
2017-01-07 09:00:00,297.437
2017-01-07 10:00:00,297.937
2017-01-07 11:00:00,298.044
2017-01-07 12:00:00,297.797
2017-01-07 13:00:00,297.128
2017-01-07 14:00:00,296.156
2017-01-07 15:00:00,295.181
2017-01-07 16:00:00,294.123
2017-01-07 17:00:00,293.051
2017-01-07 18:00:00,291.947
2017-01-07 19:00:00,291.174
2017-01-07 20:00:00,290.533
2017-01-07 21:00:00,289.788
2017-01-07 22:00:00,289.058
2017-01-07 23:00:00,288.309
2017-01-08 00:00:00,287.728
2017-01-08 01:00:00,287.228
2017-01-08 02:00:00,286.84
2017-01-08 03:00:00,286.435
2017-01-08 04:00:00,287.52
2017-01-08 05:00:00,290.923
2017-01-08 06:00:00,292.889
2017-01-08 07:00:00,294.612
2017-01-08 08:00:00,295.99
2017-01-08 09:00:00,297.052
2017-01-08 10:00:00,297.806
2017-01-08 11:00:00,298.193
2017-01-08 12:00:00,298.193
2017-01-08 13:00:00,297.73
2017-01-08 14:00:00,296.847
2017-01-08 15:00:00,295.917
2017-01-08 16:00:00,294.888
2017-01-08 17:00:00,293.902
2017-01-08 18:00:00,292.823
2017-01-08 19:00:00,291.942
2017-01-08 20:00:00,291.133
2017-01-08 21:00:00,290.486
2017-01-08 22:00:00,289.96
2017-01-08 23:00:00,289.474
2017-01-09 00:00:00,288.888
2017-01-09 01:00:00,288.26
2017-01-09 02:00:00,286.883
2017-01-09 03:00:00,286.118
2017-01-09 04:00:00,287.23
2017-01-09 05:00:00,291.055
2017-01-09 06:00:00,293.044
2017-01-09 07:00:00,295.147
2017-01-09 08:00:00,296.5
2017-01-09 09:00:00,297.424
2017-01-09 10:00:00,297.972
2017-01-09 11:00:00,298.127
2017-01-09 12:00:00,297.826
2017-01-09 13:00:00,297.064
2017-01-09 14:00:00,296.038
2017-01-09 15:00:00,294.924
2017-01-09 16:00:00,293.821
2017-01-09 17:00:00,292.866
2017-01-09 18:00:00,292.022
2017-01-09 19:00:00,291.465
2017-01-09 20:00:00,290.703
2017-01-09 21:00:00,290.097
2017-01-09 22:00:00,289.762
2017-01-09 23:00:00,289.443
2017-01-10 00:00:00,288.828
2017-01-10 01:00:00,288.151
2017-01-10 02:00:00,287.442
2017-01-10 03:00:00,286.76
2017-01-10 04:00:00,287.282
2017-01-10 05:00:00,291.049
2017-01-10 06:00:00,293.305
2017-01-10 07:00:00,295.237
2017-01-10 08:00:00,296.789
2017-01-10 09:00:00,297.977
2017-01-10 10:00:00,298.789
2017-01-10 11:00:00,299.123
2017-01-10 12:00:00,298.999
2017-01-10 13:00:00,298.269
2017-01-10 14:00:00,297.029
2017-01-10 15:00:00,295.734
2017-01-10 16:00:00,294.404
2017-01-10 17:00:00,293.036
2017-01-10 18:00:00,291.932
2017-01-10 19:00:00,291.126
2017-01-10 20:00:00,290.616
2017-01-10 21:00:00,290.037
2017-01-10 22:00:00,289.073
2017-01-10 23:00:00,287.894
2017-01-11 00:00:00,286.858
2017-01-11 01:00:00,286.213
2017-01-11 02:00:00,285.732
2017-01-11 03:00:00,285.325
2017-01-11 04:00:00,286.669
2017-01-11 05:00:00,291.282
2017-01-11 06:00:00,294.808
2017-01-11 07:00:00,296.723
2017-01-11 08:00:00,298.348
2017-01-11 09:00:00,299.553
2017-01-11 10:00:00,300.366
2017-01-11 11:00:00,300.698
2017-01-11 12:00:00,300.564
2017-01-11 13:00:00,299.696
2017-01-11 14:00:00,298.279
2017-01-11 15:00:00,296.752
2017-01-11 16:00:00,295.315
2017-01-11 17:00:00,293.887
2017-01-11 18:00:00,292.762
2017-01-11 19:00:00,292.187
2017-01-11 20:00:00,291.403
2017-01-11 21:00:00,290.736
2017-01-11 22:00:00,290.178
2017-01-11 23:00:00,289.422
2017-01-12 00:00:00,288.72
2017-01-12 01:00:00,288.149
2017-01-12 02:00:00,287.682
2017-01-12 03:00:00,287.314
2017-01-12 04:00:00,288.428
2017-01-12 05:00:00,292.507
2017-01-12 06:00:00,295.809
2017-01-12 07:00:00,298.176
2017-01-12 08:00:00,299.977
2017-01-12 09:00:00,301.323
2017-01-12 10:00:00,302.215
2017-01-12 11:00:00,302.615
2017-01-12 12:00:00,302.481
2017-01-12 13:00:00,301.751
2017-01-12 14:00:00,300.313
2017-01-12 15:00:00,298.912
2017-01-12 16:00:00,297.601
2017-01-12 17:00:00,296.224
2017-01-12 18:00:00,294.936
2017-01-12 19:00:00,294.135
2017-01-12 20:00:00,293.265
2017-01-12 21:00:00,292.55
2017-01-12 22:00:00,292.116
2017-01-12 23:00:00,291.774
2017-01-13 00:00:00,291.06
2017-01-13 01:00:00,290.023
2017-01-13 02:00:00,289.074
2017-01-13 03:00:00,288.48
2017-01-13 04:00:00,289.505
2017-01-13 05:00:00,293.801
2017-01-13 06:00:00,296.892
2017-01-13 07:00:00,298.804
2017-01-13 08:00:00,300.303
2017-01-13 09:00:00,301.283
2017-01-13 10:00:00,301.963
2017-01-13 11:00:00,302.234
2017-01-13 12:00:00,302.15
2017-01-13 13:00:00,301.498
2017-01-13 14:00:00,299.784
2017-01-13 15:00:00,298.202
2017-01-13 16:00:00,296.862
2017-01-13 17:00:00,295.553
2017-01-13 18:00:00,294.329
2017-01-13 19:00:00,293.546
2017-01-13 20:00:00,292.631
2017-01-13 21:00:00,291.8
2017-01-13 22:00:00,291.094
2017-01-13 23:00:00,290.441
2017-01-14 00:00:00,289.839
2017-01-14 01:00:00,289.459
2017-01-14 02:00:00,289.056
2017-01-14 03:00:00,288.687
2017-01-14 04:00:00,289.574
2017-01-14 05:00:00,293.234
2017-01-14 06:00:00,296.009
2017-01-14 07:00:00,298.126
2017-01-14 08:00:00,299.753
2017-01-14 09:00:00,301.054
2017-01-14 10:00:00,302.026
2017-01-14 11:00:00,302.419
2017-01-14 12:00:00,301.947
2017-01-14 13:00:00,300.55
2017-01-14 14:00:00,298.639
2017-01-14 15:00:00,297.052
