datetime,elapsed_sec,pressure_bar,temperature_c
1/18/19 11:15,0,1.368,32.775
1/18/19 11:30,900,1.362,34.532
1/18/19 11:45,1800,1.362,34.58
1/18/19 12:00,2700,1.364,34.58
1/18/19 12:15,3600,1.365,34.58
1/18/19 12:30,4500,1.366,34.58
1/18/19 12:45,5400,1.367,34.532
1/18/19 13:00,6300,1.368,34.58
1/18/19 13:15,7200,1.368,34.532
1/18/19 13:30,8100,1.369,34.58
1/18/19 13:45,9000,1.369,34.58
1/18/19 14:00,9900,1.369,34.532
1/18/19 14:15,10800,1.369,34.58
1/18/19 14:30,11700,1.37,34.58
1/18/19 14:45,12600,1.37,34.532
1/18/19 15:00,13500,1.37,34.58
1/18/19 15:15,14400,1.37,34.58
1/18/19 15:30,15300,1.37,34.532
1/18/19 15:45,16200,1.37,34.58
1/18/19 16:00,17100,1.37,34.58
1/18/19 16:15,18000,1.37,34.58
1/18/19 16:30,18900,1.37,34.58
1/18/19 16:45,19800,1.37,34.58
1/18/19 17:00,20700,1.371,34.58
1/18/19 17:15,21600,1.37,34.58
1/18/19 17:30,22500,1.37,34.532
1/18/19 17:45,23400,1.371,34.58
1/18/19 18:00,24300,1.37,34.532
1/18/19 18:15,25200,1.371,34.58
1/18/19 18:30,26100,1.37,34.58
1/18/19 18:45,27000,1.37,34.58
1/18/19 19:00,27900,1.371,34.532
1/18/19 19:15,28800,1.371,34.58
1/18/19 19:30,29700,1.371,34.532
1/18/19 19:45,30600,1.371,34.58
1/18/19 20:00,31500,1.371,34.532
1/18/19 20:15,32400,1.371,34.58
1/18/19 20:30,33300,1.371,34.58
1/18/19 20:45,34200,1.371,34.58
1/18/19 21:00,35100,1.371,34.58
1/18/19 21:15,36000,1.371,34.532
1/18/19 21:30,36900,1.371,34.532
1/18/19 21:45,37800,1.372,34.58
1/18/19 22:00,38700,1.372,34.58
1/18/19 22:15,39600,1.372,34.58
1/18/19 22:30,40500,1.372,34.532
1/18/19 22:45,41400,1.372,34.532
1/18/19 23:00,42300,1.372,34.58
1/18/19 23:15,43200,1.372,34.532
1/18/19 23:30,44100,1.372,34.532
1/18/19 23:45,45000,1.372,34.58
1/19/19 00:00,45900,1.372,34.58
1/19/19 00:15,46800,1.372,34.532
1/19/19 00:30,47700,1.372,34.532
1/19/19 00:45,48600,1.372,34.532
1/19/19 01:00,49500,1.373,34.58
1/19/19 01:15,50400,1.373,34.532
1/19/19 01:30,51300,1.373,34.58
1/19/19 01:45,52200,1.373,34.532
1/19/19 02:00,53100,1.373,34.58
1/19/19 02:15,54000,1.373,34.532
1/19/19 02:30,54900,1.374,34.532
1/19/19 02:45,55800,1.374,34.58
1/19/19 03:00,56700,1.374,34.58
1/19/19 03:15,57600,1.374,34.532
1/19/19 03:30,58500,1.374,34.58
1/19/19 03:45,59400,1.373,34.532
1/19/19 04:00,60300,1.374,34.58
1/19/19 04:15,61200,1.374,34.58
1/19/19 04:30,62100,1.374,34.58
1/19/19 04:45,63000,1.374,34.532
1/19/19 05:00,63900,1.374,34.532
1/19/19 05:15,64800,1.374,34.532
1/19/19 05:30,65700,1.374,34.58
1/19/19 05:45,66600,1.374,34.58
1/19/19 06:00,67500,1.374,34.58
1/19/19 06:15,68400,1.374,34.58
1/19/19 06:30,69300,1.374,34.58
1/19/19 06:45,70200,1.374,34.532
1/19/19 07:00,71100,1.374,34.532
1/19/19 07:15,72000,1.374,34.58
1/19/19 07:30,72900,1.375,34.58
1/19/19 07:45,73800,1.374,34.532
1/19/19 08:00,74700,1.374,34.58
1/19/19 08:15,75600,1.374,34.58
1/19/19 08:30,76500,1.374,34.532
1/19/19 08:45,77400,1.374,34.58
1/19/19 09:00,78300,1.374,34.532
1/19/19 09:15,79200,1.374,34.532
1/19/19 09:30,80100,1.374,34.58
1/19/19 09:45,81000,1.374,34.532
1/19/19 10:00,81900,1.375,34.58
1/19/19 10:15,82800,1.374,34.532
1/19/19 10:30,83700,1.374,34.532
1/19/19 10:45,84600,1.374,34.532
1/19/19 11:00,85500,1.374,34.58
1/19/19 11:15,86400,1.374,34.58
1/19/19 11:30,87300,1.374,34.58
1/19/19 11:45,88200,1.374,34.58
1/19/19 12:00,89100,1.374,34.532
1/19/19 12:15,90000,1.374,34.532
1/19/19 12:30,90900,1.374,34.58
1/19/19 12:45,91800,1.374,34.58
1/19/19 13:00,92700,1.374,34.532
1/19/19 13:15,93600,1.374,34.532
1/19/19 13:30,94500,1.374,34.58
1/19/19 13:45,95400,1.374,34.532
1/19/19 14:00,96300,1.374,34.532
1/19/19 14:15,97200,1.374,34.58
1/19/19 14:30,98100,1.373,34.532
1/19/19 14:45,99000,1.374,34.532
1/19/19 15:00,99900,1.374,34.532
1/19/19 15:15,100800,1.373,34.532
1/19/19 15:30,101700,1.374,34.532
1/19/19 15:45,102600,1.374,34.532
1/19/19 16:00,103500,1.374,34.532
1/19/19 16:15,104400,1.374,34.532
1/19/19 16:30,105300,1.374,34.532
1/19/19 16:45,106200,1.373,34.58
1/19/19 17:00,107100,1.374,34.532
1/19/19 17:15,108000,1.374,34.58
1/19/19 17:30,108900,1.373,34.532
1/19/19 17:45,109800,1.373,34.532
1/19/19 18:00,110700,1.373,34.58
1/19/19 18:15,111600,1.373,34.58
1/19/19 18:30,112500,1.373,34.532
1/19/19 18:45,113400,1.373,34.58
1/19/19 19:00,114300,1.373,34.58
1/19/19 19:15,115200,1.373,34.58
1/19/19 19:30,116100,1.373,34.58
1/19/19 19:45,117000,1.373,34.532
1/19/19 20:00,117900,1.373,34.532
1/19/19 20:15,118800,1.373,34.532
1/19/19 20:30,119700,1.373,34.532
1/19/19 20:45,120600,1.373,34.58
1/19/19 21:00,121500,1.373,34.532
1/19/19 21:15,122400,1.373,34.58
1/19/19 21:30,123300,1.373,34.58
1/19/19 21:45,124200,1.372,34.58
1/19/19 22:00,125100,1.373,34.58
1/19/19 22:15,126000,1.373,34.58
1/19/19 22:30,126900,1.373,34.532
1/19/19 22:45,127800,1.373,34.58
1/19/19 23:00,128700,1.373,34.58
1/19/19 23:15,129600,1.373,34.532
1/19/19 23:30,130500,1.374,34.532
1/19/19 23:45,131400,1.373,34.58
1/20/19 00:00,132300,1.373,34.58
1/20/19 00:15,133200,1.374,34.532
1/20/19 00:30,134100,1.374,34.532
1/20/19 00:45,135000,1.374,34.532
1/20/19 01:00,135900,1.374,34.532
1/20/19 01:15,136800,1.374,34.532
1/20/19 01:30,137700,1.374,34.532
1/20/19 01:45,138600,1.374,34.58
1/20/19 02:00,139500,1.375,34.532
1/20/19 02:15,140400,1.374,34.58
1/20/19 02:30,141300,1.375,34.532
1/20/19 02:45,142200,1.375,34.532
1/20/19 03:00,143100,1.375,34.532
1/20/19 03:15,144000,1.375,34.532
1/20/19 03:30,144900,1.374,34.58
1/20/19 03:45,145800,1.375,34.58
1/20/19 04:00,146700,1.375,34.532
1/20/19 04:15,147600,1.375,34.532
1/20/19 04:30,148500,1.375,34.532
1/20/19 04:45,149400,1.375,34.58
1/20/19 05:00,150300,1.375,34.532
1/20/19 05:15,151200,1.375,34.532
1/20/19 05:30,152100,1.375,34.532
1/20/19 05:45,153000,1.375,34.532
1/20/19 06:00,153900,1.376,34.532
1/20/19 06:15,154800,1.375,34.532
1/20/19 06:30,155700,1.375,34.532
1/20/19 06:45,156600,1.375,34.532
1/20/19 07:00,157500,1.375,34.532
1/20/19 07:15,158400,1.376,34.532
1/20/19 07:30,159300,1.375,34.532
1/20/19 07:45,160200,1.375,34.532
1/20/19 08:00,161100,1.375,34.58
1/20/19 08:15,162000,1.376,34.532
1/20/19 08:30,162900,1.376,34.532
1/20/19 08:45,163800,1.376,34.532
1/20/19 09:00,164700,1.376,34.532
1/20/19 09:15,165600,1.376,34.532
1/20/19 09:30,166500,1.376,34.532
1/20/19 09:45,167400,1.376,34.532
1/20/19 10:00,168300,1.376,34.532
1/20/19 10:15,169200,1.376,34.532
1/20/19 10:30,170100,1.376,34.58
1/20/19 10:45,171000,1.376,34.532
1/20/19 11:00,171900,1.376,34.532
1/20/19 11:15,172800,1.376,34.532
1/20/19 11:30,173700,1.376,34.58
1/20/19 11:45,174600,1.375,34.58
1/20/19 12:00,175500,1.375,34.532
1/20/19 12:15,176400,1.375,34.532
1/20/19 12:30,177300,1.375,34.532
1/20/19 12:45,178200,1.375,34.532
1/20/19 13:00,179100,1.375,34.532
1/20/19 13:15,180000,1.375,34.58
1/20/19 13:30,180900,1.375,34.532
1/20/19 13:45,181800,1.375,34.532
1/20/19 14:00,182700,1.375,34.532
1/20/19 14:15,183600,1.375,34.532
1/20/19 14:30,184500,1.374,34.485
1/20/19 14:45,185400,1.374,34.532
1/20/19 15:00,186300,1.375,34.532
1/20/19 15:15,187200,1.375,34.58
1/20/19 15:30,188100,1.375,34.532
1/20/19 15:45,189000,1.375,34.532
1/20/19 16:00,189900,1.375,34.532
1/20/19 16:15,190800,1.374,34.532
1/20/19 16:30,191700,1.375,34.58
1/20/19 16:45,192600,1.375,34.532
1/20/19 17:00,193500,1.375,34.532
1/20/19 17:15,194400,1.374,34.58
1/20/19 17:30,195300,1.374,34.532
1/20/19 17:45,196200,1.374,34.532
1/20/19 18:00,197100,1.374,34.532
1/20/19 18:15,198000,1.374,34.532
1/20/19 18:30,198900,1.374,34.58
1/20/19 18:45,199800,1.374,34.532
1/20/19 19:00,200700,1.374,34.532
1/20/19 19:15,201600,1.374,34.532
1/20/19 19:30,202500,1.374,34.532
1/20/19 19:45,203400,1.374,34.532
1/20/19 20:00,204300,1.374,34.532
1/20/19 20:15,205200,1.374,34.532
1/20/19 20:30,206100,1.374,34.58
1/20/19 20:45,207000,1.374,34.532
1/20/19 21:00,207900,1.374,34.532
1/20/19 21:15,208800,1.374,34.532
1/20/19 21:30,209700,1.374,34.532
1/20/19 21:45,210600,1.374,34.532
1/20/19 22:00,211500,1.374,34.532
1/20/19 22:15,212400,1.374,34.532
1/20/19 22:30,213300,1.373,34.532
1/20/19 22:45,214200,1.374,34.532
1/20/19 23:00,215100,1.374,34.532
1/20/19 23:15,216000,1.373,34.532
1/20/19 23:30,216900,1.374,34.532
1/20/19 23:45,217800,1.374,34.58
1/21/19 00:00,218700,1.374,34.532
1/21/19 00:15,219600,1.374,34.532
1/21/19 00:30,220500,1.374,34.532
1/21/19 00:45,221400,1.374,34.532
1/21/19 01:00,222300,1.374,34.532
1/21/19 01:15,223200,1.374,34.532
1/21/19 01:30,224100,1.374,34.532
1/21/19 01:45,225000,1.375,34.532
1/21/19 02:00,225900,1.375,34.532
1/21/19 02:15,226800,1.375,34.532
1/21/19 02:30,227700,1.374,34.532
1/21/19 02:45,228600,1.375,34.532
1/21/19 03:00,229500,1.375,34.532
1/21/19 03:15,230400,1.375,34.532
1/21/19 03:30,231300,1.375,34.58
1/21/19 03:45,232200,1.375,34.532
1/21/19 04:00,233100,1.375,34.532
1/21/19 04:15,234000,1.376,34.532
1/21/19 04:30,234900,1.376,34.532
1/21/19 04:45,235800,1.376,34.532
1/21/19 05:00,236700,1.376,34.532
1/21/19 05:15,237600,1.376,34.532
1/21/19 05:30,238500,1.376,34.532
1/21/19 05:45,239400,1.376,34.532
1/21/19 06:00,240300,1.376,34.532
1/21/19 06:15,241200,1.376,34.532
1/21/19 06:30,242100,1.376,34.532
1/21/19 06:45,243000,1.376,34.58
1/21/19 07:00,243900,1.376,34.532
1/21/19 07:15,244800,1.376,34.532
1/21/19 07:30,245700,1.377,34.532
1/21/19 07:45,246600,1.376,34.532
1/21/19 08:00,247500,1.376,34.58
1/21/19 08:15,248400,1.376,34.532
1/21/19 08:30,249300,1.377,34.532
1/21/19 08:45,250200,1.377,34.532
1/21/19 09:00,251100,1.377,34.532
1/21/19 09:15,252000,1.376,34.532
1/21/19 09:30,252900,1.377,34.532
1/21/19 09:45,253800,1.376,34.532
1/21/19 10:00,254700,1.377,34.532
1/21/19 10:15,255600,1.376,34.532
1/21/19 10:30,256500,1.376,34.532
1/21/19 10:45,257400,1.376,34.532
1/21/19 11:00,258300,1.376,34.532
1/21/19 11:15,259200,1.376,34.532
1/21/19 11:30,260100,1.376,34.532
1/21/19 11:45,261000,1.376,34.532
1/21/19 12:00,261900,1.376,34.532
1/21/19 12:15,262800,1.376,34.532
1/21/19 12:30,263700,1.375,34.532
1/21/19 12:45,264600,1.376,34.532
1/21/19 13:00,265500,1.376,34.532
1/21/19 13:15,266400,1.375,34.532
1/21/19 13:30,267300,1.376,34.532
1/21/19 13:45,268200,1.376,34.532
1/21/19 14:00,269100,1.375,34.532
1/21/19 14:15,270000,1.375,34.532
1/21/19 14:30,270900,1.375,34.532
1/21/19 14:45,271800,1.375,34.532
1/21/19 15:00,272700,1.375,34.532
1/21/19 15:15,273600,1.375,34.532
1/21/19 15:30,274500,1.375,34.532
1/21/19 15:45,275400,1.375,34.58
1/21/19 16:00,276300,1.375,34.532
1/21/19 16:15,277200,1.375,34.532
1/21/19 16:30,278100,1.375,34.532
1/21/19 16:45,279000,1.375,34.532
1/21/19 17:00,279900,1.375,34.532
1/21/19 17:15,280800,1.375,34.58
1/21/19 17:30,281700,1.375,34.532
1/21/19 17:45,282600,1.375,34.532
1/21/19 18:00,283500,1.376,34.532
1/21/19 18:15,284400,1.375,34.532
1/21/19 18:30,285300,1.375,34.532
1/21/19 18:45,286200,1.375,34.532
1/21/19 19:00,287100,1.375,34.532
1/21/19 19:15,288000,1.376,34.532
1/21/19 19:30,288900,1.375,34.532
1/21/19 19:45,289800,1.375,34.532
1/21/19 20:00,290700,1.375,34.532
1/21/19 20:15,291600,1.375,34.532
1/21/19 20:30,292500,1.375,34.532
1/21/19 20:45,293400,1.375,34.532
1/21/19 21:00,294300,1.375,34.532
1/21/19 21:15,295200,1.374,34.532
1/21/19 21:30,296100,1.375,34.532
1/21/19 21:45,297000,1.375,34.532
1/21/19 22:00,297900,1.375,34.532
1/21/19 22:15,298800,1.375,34.532
1/21/19 22:30,299700,1.374,34.532
